Hour,Mean_Current
0,0.286549707602339
1,0.286549707602339
2,0.286549707602339
3,0.286549707602339
4,0.286549707602339
5,0.269005847953216
6,0.251461988304094
7,0.251461988304094
8,0
9,0.087719298245614
10,0
11,0.087719298245614
12,0
13,0.0701754385964912
14,0.0350877192982456
15,0.0701754385964912
16,0.0350877192982456
17,0.277777777777778
18,0.444444444444444
19,0.488304093567251
20,0.523391812865497
21,0.435672514619883
22,0.41812865497076
23,0.330409356725146
